지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일 최심신적설(cm),일 최심적설(cm)
112,인천,2010-10-01,17.2,,1.7,,
112,인천,2010-10-02,16.9,17.5,2.1,,
112,인천,2010-10-03,17.8,7.5,3.4,,
112,인천,2010-10-04,14.9,3,3.9,,
112,인천,2010-10-05,15.6,,2,,
112,인천,2010-10-06,17.2,,2.1,,
112,인천,2010-10-07,18.2,,1.5,,
112,인천,2010-10-08,19.6,,1.7,,
112,인천,2010-10-09,19.3,,2.3,,
112,인천,2010-10-10,18.7,,2.3,,
112,인천,2010-10-11,19,,1.7,,
112,인천,2010-10-12,16.7,1,2.6,,
112,인천,2010-10-13,16.4,,2.3,,
112,인천,2010-10-14,16.3,,3,,
112,인천,2010-10-15,14.8,,4.7,,
112,인천,2010-10-16,17.6,,3.6,,
112,인천,2010-10-17,15.3,,2.5,,
112,인천,2010-10-18,13.8,,1.9,,
112,인천,2010-10-19,16.3,,1.7,,
112,인천,2010-10-20,15.8,,2.3,,
112,인천,2010-10-21,15.2,,2.3,,
112,인천,2010-10-22,17.4,,2.2,,
112,인천,2010-10-23,16.9,,1.7,,
112,인천,2010-10-24,17.3,,2.1,,
112,인천,2010-10-25,10.5,,7.4,,
112,인천,2010-10-26,5.3,,5.8,,
112,인천,2010-10-27,6.2,,2.1,,
112,인천,2010-10-28,7.9,,2.8,,
112,인천,2010-10-29,10.4,,2.7,,
112,인천,2010-10-30,12,,2.2,,
112,인천,2010-10-31,12.3,,2.2,,
112,인천,2010-11-01,11.9,,4.3,,
112,인천,2010-11-02,6.5,,6.1,,
112,인천,2010-11-03,9.5,,2.4,,
112,인천,2010-11-04,12.1,,2.9,,
112,인천,2010-11-05,12.7,,2,,
112,인천,2010-11-06,13.4,,2.1,,
112,인천,2010-11-07,12.3,.5,3,,
112,인천,2010-11-08,8.6,0,8.3,,
112,인천,2010-11-09,4.8,,8.5,,
112,인천,2010-11-10,5.3,,1.9,,
112,인천,2010-11-11,10.4,1,4.6,,
112,인천,2010-11-12,10,1,3.8,,
112,인천,2010-11-13,12,,3.6,,
112,인천,2010-11-14,6.3,,5.3,,
112,인천,2010-11-15,2.7,,4.6,,
112,인천,2010-11-16,4.8,0,2.9,,
112,인천,2010-11-17,7.7,,2.1,,
112,인천,2010-11-18,7.9,,1.7,,
112,인천,2010-11-19,7.7,,2,,
112,인천,2010-11-20,10.2,,1.8,,
112,인천,2010-11-21,12.1,,3,,
112,인천,2010-11-22,6.7,.4,5.8,,
112,인천,2010-11-23,5.4,,2.4,,
112,인천,2010-11-24,7.5,,1.8,,
112,인천,2010-11-25,4.2,,5.5,,
112,인천,2010-11-26,1.6,,2.6,,
112,인천,2010-11-27,3.3,4,6.4,,
112,인천,2010-11-28,.2,3,3.7,1.2,1.2
112,인천,2010-11-29,4.1,,2.1,,1.2
112,인천,2010-11-30,8.7,3.5,2.2,,
112,인천,2010-12-01,8.5,,2.4,,
112,인천,2010-12-02,11.5,1.5,3.9,,
112,인천,2010-12-03,.9,,7.7,,
112,인천,2010-12-04,4.3,,3.4,,
112,인천,2010-12-05,10.2,,3.4,,
112,인천,2010-12-06,3.4,,6.2,,
112,인천,2010-12-07,.5,,3,,
112,인천,2010-12-08,1.7,4.7,4.5,2.5,2.5
112,인천,2010-12-09,0,,3.6,,.2
112,인천,2010-12-10,4.9,.5,6,,
112,인천,2010-12-11,-2.4,,5.8,,
112,인천,2010-12-12,.3,,2.5,,
112,인천,2010-12-13,4,0,2.5,,
112,인천,2010-12-14,-2.7,,6.6,,
112,인천,2010-12-15,-8.7,,5.3,,
112,인천,2010-12-16,-6.2,0,2.1,,
112,인천,2010-12-17,.1,.8,3.6,1.7,1.7
112,인천,2010-12-18,2.7,,3.3,,
112,인천,2010-12-19,7.3,,3.9,,
112,인천,2010-12-20,2.9,,1.6,,
112,인천,2010-12-21,3.8,,2.5,,
112,인천,2010-12-22,3.9,,2.3,,
112,인천,2010-12-23,-.9,,5.3,,
112,인천,2010-12-24,-10.3,,6.5,,
112,인천,2010-12-25,-9.1,,5.8,,
